Báo cáo quảng cáo trả theo CPC - Shopee Việt Nam
Tên đăng nhập,tonastore2015
Tên gian hàng,TÔ NA STORE
Mã Người bán,104950351
Thời gian tạo báo cáo,10/09/2024 23:25
Khoảng thời gian,01/08/2024 - 31/08/2024

Thứ tự,Tên quảng cáo,Trạng thái,Loại quảng cáo,Mã sản phẩm,Nội dung quảng cáo,Phương thức đấu thầu,Vị trí,Ngày bắt đầu,Ngày kết thúc,Số lượt xem,Số lượt click,Tỷ Lệ Click,Lượt chuyển đổi,Lượt chuyển đổi trực tiếp,Tỷ lệ chuyển đổi,Tỷ lệ chuyển đổi trực tiếp,Chi phí cho mỗi lượt chuyển đổi,Chi phí cho mỗi lượt chuyển đổi trực tiếp,Sản phẩm đã bán,Sản phẩm đã bán trực tiếp,GMV,GMV trực tiếp,Chi phí,ROAS,ROAS trực tiếp,ACOS,ACOS trực tiếp,Lượt xem Sản phẩm,Lượt clicks Sản phẩm,Tỷ lệ Click Sản phẩm
14,YM154 - Yang Mi Bộ Cộc Tay Sọc Tăm Gân Phối Viền thời trang hè cho bé 5-15kg,Tạm dừng,Quảng cáo Sản phẩm,26950405420,-,Giá thầu Thủ công,Khám phá,08/08/2024 00:00:00,Không giới hạn,2274,90,3.96%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,43086,0.00,0.00,0.00%,0.00%,-,-,-
15,YM157 -  Yang Mi Bộ Quần Áo Thêu Gấu vải thun lạnh co dãn thời trang hè cho bé 5-15kg,Tạm dừng,Quảng cáo Sản phẩm,29650406197,-,Giá thầu Thủ công,Khám phá,08/08/2024 00:00:00,Không giới hạn,1688,42,2.49%,2,2,4.76%,4.76%,10336.51,10336.51,2,2,180000,180000,20673,8.71,8.71,11.49%,11.49%,-,-,-
16,Bộ quần áo sơ sinh dài tay Yang Mi Set đồ thu đông vải tăm gân cúc chéo mềm mại cho bé 5-15KG YM171,Tạm dừng,Quảng cáo Sản phẩm,27309490164,-,Giá thầu Thủ công,Tất cả,29/08/2024 00:00:00,Không giới hạn,844,13,1.54%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6387,0.00,0.00,0.00%,0.00%,-,-,-
17,[QUÀ TẶNG] YM121 - Váy Suông Chấm Bi Yangmi Cho Bé 5-15kg họa tiết hoạt hình đáng yêu,Tạm dừng,Quảng cáo Sản phẩm,25373498090,-,Giá thầu Thủ công,Tất cả,18/08/2024 00:00:00,Không giới hạn,822,8,0.97%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4286,0.00,0.00,0.00%,0.00%,-,-,-
18,YM52 - Yang Mi Bộ Ba Lỗ Cúc Ngực Muslin mềm mại mát mẻ mùa hè cho bé 5-15kg,Tạm dừng,Quảng cáo Sản phẩm,20282396274,-,Giá thầu Thủ công,Khám phá,08/08/2024 00:00:00,Không giới hạn,768,27,3.52%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,13624,0.00,0.00,0.00%,0.00%,-,-,-
19,Bộ Quần Áo Cộc Tay Set Cộc Tăm Gân Kèm Mũ Tonakids YM172 Cho Bé 5-15kg,Tạm dừng,Quảng cáo Sản phẩm,24135335307,-,Giá thầu Thủ công,Tất cả,29/08/2024 00:00:00,Không giới hạn,504,13,2.58%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,6444,0.00,0.00,0.00%,0.00%,-,-,-
20,YM34 - Yang Mi Bộ Bơi Bé Gái,Tạm dừng,Quảng cáo Sản phẩm,23871825358,-,Giá thầu Thủ công,Tất cả,19/08/2024 00:00:00,Không giới hạn,479,8,1.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4384,0.00,0.00,0.00%,0.00%,-,-,-
21,YM09 - Yang Mi Bộ Bơi Bé Trai Phối Màu Vải Cotton Phong Cách Hàn Quốc Cho Bé Trai 5-15kg,Tạm dừng,Quảng cáo Sản phẩm,18281211681,-,Giá thầu Thủ công,Khám phá,12/08/2024 00:00:00,Không giới hạn,478,4,0.84%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,1896,0.00,0.00,0.00%,0.00%,-,-,-
22,YM89 - Yang Mi Bộ Cộc Viền Cổ,Tạm dừng,Quảng cáo Sản phẩm,25106173390,-,Giá thầu Thủ công,Khám phá,12/08/2024 00:00:00,Không giới hạn,408,23,5.64%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,10723,0.00,0.00,0.00%,0.00%,-,-,-
23,YM37 - Yang Mi Váy Raplan Hoạt Hình Bé Gái,Tạm dừng,Quảng cáo Sản phẩm,22273324355,-,Giá thầu Thủ công,Tất cả,28/08/2024 00:00:00,Không giới hạn,397,7,1.76%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,3360,0.00,0.00,0.00%,0.00%,-,-,-
24,Bộ quần áo điều hòa dài tay Yang Mi Set đồ thu đông vải tăm gân bo chun mềm mại cho bé 5-15KG YM170,Tạm dừng,Quảng cáo Sản phẩm,26809490152,-,Giá thầu Thủ công,Tất cả,29/08/2024 00:00:00,Không giới hạn,321,6,1.87%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2859,0.00,0.00,0.00%,0.00%,-,-,-
25,Bộ quần áo dài tay YangMi Set đồ thu đông vải tăm gân mềm mại phối viền cổ cho bé 5-15KG YM169,Tạm dừng,Quảng cáo Sản phẩm,27609303285,-,Giá thầu Thủ công,Tất cả,28/08/2024 00:00:00,Không giới hạn,288,2,0.69%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,996,0.00,0.00,0.00%,0.00%,-,-,-
26,YM40 - Yang Mi Váy Đuôi Cá Hoạt Hình Bé Gái,Tạm dừng,Quảng cáo Sản phẩm,22373327226,-,Giá thầu Thủ công,Tất cả,28/08/2024 00:00:00,Không giới hạn,229,2,0.87%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,960,0.00,0.00,0.00%,0.00%,-,-,-
27,Bộ quần áo cộc tay trơn màu Yang Mi Set đồ phối viền cổ chất tăm gân mềm mịn thời trang hè thu cho bé 5-15kg YM168,Tạm dừng,Quảng cáo Sản phẩm,27809490006,-,Giá thầu Thủ công,Tất cả,29/08/2024 00:00:00,Không giới hạn,90,1,1.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,499,0.00,0.00,0.00%,0.00%,-,-,-
28,YM149 -  Yang Mi Bộ Dệt Kim Túi Trước Phong Cách Thể Thao Vải Cotton Mềm Mịn Cho Bé 5-15kg,Tạm dừng,Quảng cáo Sản phẩm,25968360380,-,Giá thầu Thủ công,Tất cả,15/08/2024 00:00:00,Không giới hạn,11,1,9.09%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,480,0.00,0.00,0.00%,0.00%,-,-,-
29,Quảng cáo Shop,Tạm dừng,Quảng cáo Shop,-,Mặc định,Giá thầu Thủ công,-,31/05/2024 00:00:00,Không giới hạn,49,4,8.16%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,4000,0.00,0.00,0.00%,0.00%,159,1,0.63%
